Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Inventory Qty,Image Src,Status
p01-huile-tradition,Huile de Monoï Tradition,<p><em>97 % de pur Monoï de Tahiti</em></p><p>Le geste originel. Macération de fleurs de Tiaré dans l'huile de coprah de Polynésie. Nourrit corps et cheveux d'un voile d'or.</p>,Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection, Iconique",TRUE,Title,Default Title,19.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p01-huile-tradition.png,active
p02-huile-seche,Huile Sèche Sublimatrice,"<p><em>Un voile satiné, une peau de soleil</em></p><p>Brume d'huile sèche au toucher poudré. Sublime le hâle sans fini gras, sillage de Tiaré.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection",TRUE,Title,Default Title,16.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p02-huile-seche.png,active
p03-huile-nacree,Huile Nacrée Or,"<p><em>Paillettes d'or, peau lumière</em></p><p>Huile pailletée d'or fin. La peau capte le soleil et le renvoie, du matin au dernier rayon.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection, Édition lumière",TRUE,Title,Default Title,18.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p03-huile-nacree.png,active
p04-lait-corps,Lait Corps Monoï,"<p><em>Hydratation gourmande</em></p><p>Fondant et enveloppant, il prolonge le monoï sur la peau toute la journée.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection",TRUE,Title,Default Title,12.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p04-lait-corps.png,active
p05-gel-douche,Gel Douche Monoï,"<p><em>Une mousse fleurie de Tiaré</em></p><p>La douche devient un départ en vacances. Mousse onctueuse, parfum solaire.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection",TRUE,Title,Default Title,5.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p05-gel-douche.png,active
p06-creme-mains,Crème Mains Monoï,<p><em>Le soleil au creux des mains</em></p><p>Texture riche absorbée en un instant. À glisser dans chaque sac de plage.</p>,Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection",TRUE,Title,Default Title,6.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p06-creme-mains.png,active
p07-edt,Eau de Toilette Monoï,"<p><em>Le sillage solaire</em></p><p>Tiaré, fleur d'oranger et ambre. Un parfum qui sent l'été même en plein hiver.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection, Sillage",TRUE,Title,Default Title,24.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p07-edt.png,active
p08-gommage,Gommage Sucré Monoï,"<p><em>Peau neuve, peau de miel</em></p><p>Cristaux de sucre fondants dans un bain d'huile de monoï. Gommage et soin en un geste.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, La Collection",TRUE,Title,Default Title,14.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p08-gommage.png,active
p09-brume-cheveux,Brume Cheveux Soleil,"<p><em>La crinière de la plage</em></p><p>Voile protecteur et lumineux pour des cheveux gorgés de soleil, sans effet carton.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, Été Sanguinaires, Nouveau",TRUE,Title,Default Title,13.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p09-brume-cheveux.png,active
p10-solaire-spf,Huile Solaire SPF Or,"<p><em>Bronzer protégé, briller doré</em></p><p>La protection d'un soin solaire, la sensorialité du monoï. L'or qui prend soin.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, Été Sanguinaires, Nouveau",TRUE,Title,Default Title,21.95,100,https://fables-du-futur.vercel.app/monoi/assets/products/p10-solaire-spf.png,active
p11-serviette,Serviette Plage MONOÏ,"<p><em>Édition Ajaccio</em></p><p>Drap de plage XL, rayures sable & or, emblème Yves Rocher tissé. Coton velours.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, Été Sanguinaires, Lifestyle",TRUE,Title,Default Title,49,100,https://fables-du-futur.vercel.app/monoi/assets/products/p11-serviette.png,active
p12-lunettes,Lunettes Miroir MONOÏ,"<p><em>Le regard Sanguinaires</em></p><p>Aviateur miroir doré, branches gravées MONOÏ. Pour voir l'été en or.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, Été Sanguinaires, Lifestyle",TRUE,Title,Default Title,89,100,https://fables-du-futur.vercel.app/monoi/assets/products/p12-lunettes.png,active
p13-matelas,Matelas Gonflable Or,<p><em>Le trône solaire</em></p><p>Lounger gonflable métallisé or. Le centre de gravité de toutes les piscines.</p>,Yves Rocher,Health & Beauty,Monoï,"Monoï, Été Sanguinaires, Culte",TRUE,Title,Default Title,59,100,https://fables-du-futur.vercel.app/monoi/assets/products/p13-matelas.png,active
p14-transat,Transat Riviera MONOÏ,"<p><em>S'allonger dans les années 80</em></p><p>Bois crème, coussin rayé maison. Le siège du grand bronzage.</p>",Yves Rocher,Health & Beauty,Monoï,"Monoï, Été Sanguinaires, Lifestyle",TRUE,Title,Default Title,149,100,https://fables-du-futur.vercel.app/monoi/assets/products/p14-transat.png,active
